year,make,model,stock_number,is_new,vin,exterior_color,interior_color,engine_cylinders,doors,transmission,invoice_amount,selling_price,trim,epa_city,epa_highway,fuel_type,drive_train,transmission_description,msrp,miles,vehicle_description,certified,epa_unit,shorten_vdp_url
2018,Toyota,C-HR,JR028598,FALSE,NMTKHMBX3JR028598,Celestial Silver,NULL,NULL,NULL,7-Speed Shiftable CVT,NULL,NULL,XLE Premium,NULL,NULL,Gasoline,FWD,2.0L I4 144hp 139ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Nissan,Altima,LC270935,TRUE,1N4BL4CV0LC270935,Gun Metallic,NULL,NULL,NULL,Xtronic CVT,NULL,NULL,2.5 SR,NULL,NULL,Gasoline,FWD,2.5L I4 188hp 180ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Nissan,Altima,LC270917,TRUE,1N4BL4CV9LC270917,Pearl White Tricoat,NULL,NULL,NULL,Xtronic CVT,NULL,NULL,2.5 SR,NULL,NULL,Gasoline,FWD,2.5L I4 188hp 180ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Nissan,Altima,LC269487,TRUE,1N4BL4CV5LC269487,Granite Crystal,NULL,NULL,NULL,Xtronic CVT,NULL,NULL,2.5 SR,NULL,NULL,Gasoline,FWD,2.5L I4 188hp 180ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Nissan,Rogue,LC818927,TRUE,5N1AT2MTXLC818927,Infinite Black,NULL,NULL,NULL,7-Speed Shiftable CVT,NULL,NULL,SL,NULL,NULL,Gasoline,FWD,2.5L I4 170hp 175ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Nissan,Rogue Sport,LW366984,TRUE,JN1BJ1CWXLW366984,Iced Mocha,NULL,NULL,NULL,7-Speed Shiftable CVT,NULL,NULL,SV,NULL,NULL,Gasoline,AWD,2.0L I4 141hp 147ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Nissan,Altima,LC265331,TRUE,1N4BL4BV7LC265331,Pearl White Tricoat,NULL,NULL,NULL,Xtronic CVT,NULL,NULL,2.5 S,NULL,NULL,Gasoline,FWD,2.5L I4 188hp 180ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2018,Honda,Ridgeline,JB011710,FALSE,5FPYK3F8XJB011710,Blizzard Pearl,NULL,NULL,NULL,6-Speed Shiftable Automatic,NULL,NULL,Black Edition,NULL,NULL,Gasoline,AWD,3.5L V6 280hp 262ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2019,Dodge,Durango,KC812376,FALSE,1C4RDJDG2KC812376,Vice White,NULL,NULL,NULL,8-Speed Shiftable Automatic,NULL,NULL,GT,NULL,NULL,Gasoline,AWD,3.6L V6 295hp 260ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2019,Lincoln,MKZ Hybrid,KR602297,TRUE,3LN6L5MU8KR602297,Burgundy Velvet MET,NULL,NULL,NULL,CVT,NULL,NULL,Reserve II,NULL,NULL,Gasoline,FWD,2.0L Hybrid I4 188hp,NULL,NULL,NULL,NULL,NULL,NULL
2016,Kia,Sorento,GG063791,FALSE,5XYPH4A14GG063791,Celestial Silver,NULL,NULL,NULL,6-Speed Shiftable Automatic,NULL,NULL,EX,NULL,NULL,Gasoline,FWD,2.0L Turbo I4 240hp 260ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2012,Ford,F-150,CKE08122,FALSE,1FTFW1ET0CKE08122,Celestial Silver,NULL,NULL,NULL,6-Speed Shiftable Automatic,NULL,NULL,FX4,NULL,NULL,Gasoline,4X4,EcoBoost 3.5L Twin Turbo V6 365hp 420ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2017,Ford,F-250 Super Duty,HEC09644,FALSE,1FT7W2BT4HEC09644,Blue Crush Metallic,NULL,NULL,NULL,6-Speed Shiftable Automatic,NULL,NULL,Lariat,NULL,NULL,NULL,4X4,Power Stroke 6.7L Biodiesel Turbo V8 440hp 925ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2019,Lincoln,MKZ Hybrid,KR617488,TRUE,3LN6L5MU2KR617488,Burgundy Velvet MET,NULL,NULL,NULL,CVT,NULL,NULL,Reserve II,NULL,NULL,Gasoline,FWD,2.0L Hybrid I4 188hp,NULL,NULL,NULL,NULL,NULL,NULL
2013,Honda,Accord,DA212679,FALSE,1HGCR2F5XDA212679,Octane Red Pearl,NULL,NULL,NULL,CVT,NULL,NULL,Sport,NULL,NULL,Gasoline,FWD,2.4L I4 189hp 182ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2018,Nissan,Altima,JC152922,FALSE,1N4AL3AP5JC152922,Light Steel Gray,NULL,NULL,NULL,CVT,NULL,NULL,2.5 SR,NULL,NULL,Gasoline,FWD,2.5L I4 179hp 177ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2016,Ford,F-150,GKD44997,FALSE,1FTEW1CG6GKD44997,Octane Red Pearl,NULL,NULL,NULL,6-Speed Shiftable Automatic,NULL,NULL,XLT,NULL,NULL,Gasoline,4X2,EcoBoost 3.5L Twin Turbo V6 365hp 420ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2018,Nissan,Frontier,JN736007,FALSE,1N6BD0CT4JN736007,Blue Crush Metallic,NULL,NULL,NULL,5-Speed Automatic,NULL,NULL,SV,NULL,NULL,Gasoline,4X2,2.5L I4 152hp 171ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2015,Hyundai,Sonata,FH142657,FALSE,5NPE24AF7FH142657,Red,Black,NULL,NULL,6-Speed Shiftable Automatic,NULL,NULL,SE,NULL,NULL,Gasoline,FWD,2.4L I4 185hp 178ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2019,Honda,Civic,JU423494,FALSE,SHHFK7H93JU423494,NULL,NULL,NULL,NULL,7-Speed Shiftable CVT,25995,NULL,Sport Touring,NULL,NULL,NULL,FWD,1.5L Turbo I4 180hp 162ft. lbs.,29645,NULL,NULL,NULL,NULL,NULL
2019,Ford,Fusion Energi,KR149310,FALSE,3FA6P0SU3KR149310,Celestial Silver,NULL,NULL,NULL,CVT,29998,NULL,Titanium,NULL,NULL,NULL,FWD,2.0L Plug-in Hybrid I4 188hp,35499,NULL,NULL,NULL,NULL,NULL
2019,Toyota,Sienna,KS997665,FALSE,5TDYZ3DC6KS997665,BLACK,GRAY,NULL,NULL,8-Speed Shiftable Automatic,61394,NULL,XLE,NULL,NULL,Unleaded,FWD,3.5L V6 296hp 263ft. lbs.,61394,NULL,NULL,NULL,NULL,NULL
2020,Nissan,Pathfinder,LC618486,TRUE,5N1DR2AN1LC618486,Granite Crystal,NULL,NULL,NULL,CVT,NULL,NULL,S,NULL,NULL,Gasoline,FWD,3.5L V6 284hp 259ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
